nohup: ignoring input
Starting fetch run for 91 points across 860 dates hours=48, 
REQUEST completed point=19 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.250s rate=3.48/min response_bytes=54814
REQUEST completed point=30 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.307s rate=3.47/min response_bytes=54820
REQUEST completed point=25 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.463s rate=3.44/min response_bytes=54849
REQUEST completed point=20 date=2024-01-11 hour=00 attempt=1 status=200 duration=25.878s rate=2.32/min response_bytes=54751
REQUEST completed point=21 date=2024-01-11 hour=00 attempt=1 status=200 duration=25.884s rate=2.32/min response_bytes=54820
REQUEST completed point=32 date=2024-01-11 hour=00 attempt=1 status=200 duration=8.683s rate=6.91/min response_bytes=54614
REQUEST completed point=33 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.220s rate=3.48/min response_bytes=54511
REQUEST completed point=37 date=2024-01-11 hour=00 attempt=1 status=200 duration=8.612s rate=6.97/min response_bytes=53945
REQUEST completed point=22 date=2024-01-11 hour=00 attempt=1 status=200 duration=34.515s rate=1.74/min response_bytes=54862
REQUEST completed point=39 date=2024-01-11 hour=00 attempt=1 status=200 duration=10.795s rate=5.56/min response_bytes=55046
REQUEST completed point=34 date=2024-01-11 hour=00 attempt=1 status=200 duration=19.430s rate=3.09/min response_bytes=55214
REQUEST completed point=26 date=2024-01-11 hour=00 attempt=1 status=200 duration=36.879s rate=1.63/min response_bytes=54498
REQUEST completed point=29 date=2024-01-11 hour=00 attempt=1 status=200 duration=36.879s rate=1.63/min response_bytes=54610
REQUEST completed point=28 date=2024-01-11 hour=00 attempt=1 status=200 duration=36.878s rate=1.63/min response_bytes=54934
REQUEST completed point=42 date=2024-01-11 hour=00 attempt=1 status=200 duration=8.738s rate=6.87/min response_bytes=54463
REQUEST completed point=27 date=2024-01-11 hour=00 attempt=1 status=200 duration=45.612s rate=1.32/min response_bytes=54484
REQUEST completed point=38 date=2024-01-11 hour=00 attempt=1 status=200 duration=28.110s rate=2.13/min response_bytes=54743
REQUEST completed point=35 date=2024-01-11 hour=00 attempt=1 status=200 duration=28.152s rate=2.13/min response_bytes=54574
REQUEST completed point=31 date=2024-01-11 hour=00 attempt=1 status=200 duration=36.797s rate=1.63/min response_bytes=55290
REQUEST completed point=41 date=2024-01-11 hour=00 attempt=1 status=200 duration=19.500s rate=3.08/min response_bytes=55296
Progress: processed=950/78260 completed=72 failed=0 skipped=878 rate=24.66/min eta=52:14:49
REQUEST completed point=44 date=2024-01-11 hour=00 attempt=1 status=200 duration=25.748s rate=2.33/min response_bytes=54426
REQUEST completed point=46 date=2024-01-11 hour=00 attempt=1 status=200 duration=25.751s rate=2.33/min response_bytes=55048
REQUEST completed point=40 date=2024-01-11 hour=00 attempt=1 status=200 duration=36.705s rate=1.63/min response_bytes=55441
REQUEST completed point=36 date=2024-01-11 hour=00 attempt=1 status=200 duration=45.325s rate=1.32/min response_bytes=54465
REQUEST completed point=45 date=2024-01-11 hour=00 attempt=1 status=200 duration=25.948s rate=2.31/min response_bytes=54422
REQUEST completed point=43 date=2024-01-11 hour=00 attempt=1 status=200 duration=25.949s rate=2.31/min response_bytes=54860
REQUEST completed point=47 date=2024-01-11 hour=00 attempt=1 status=200 duration=34.052s rate=1.76/min response_bytes=55049
REQUEST completed point=52 date=2024-01-11 hour=00 attempt=1 status=200 duration=34.041s rate=1.76/min response_bytes=55171
REQUEST completed point=48 date=2024-01-11 hour=00 attempt=1 status=200 duration=34.278s rate=1.75/min response_bytes=55295
REQUEST completed point=49 date=2024-01-11 hour=00 attempt=1 status=200 duration=34.276s rate=1.75/min response_bytes=55018
REQUEST completed point=55 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.079s rate=3.51/min response_bytes=55050
REQUEST completed point=56 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.078s rate=3.51/min response_bytes=55155
REQUEST completed point=51 date=2024-01-11 hour=00 attempt=1 status=200 duration=34.283s rate=1.75/min response_bytes=54750
REQUEST completed point=50 date=2024-01-11 hour=00 attempt=1 status=200 duration=34.283s rate=1.75/min response_bytes=55226
REQUEST completed point=54 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.277s rate=3.47/min response_bytes=55317
REQUEST completed point=53 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.281s rate=3.47/min response_bytes=54788
REQUEST completed point=59 date=2024-01-11 hour=00 attempt=1 status=200 duration=16.588s rate=3.62/min response_bytes=55172
REQUEST completed point=60 date=2024-01-11 hour=00 attempt=1 status=200 duration=16.585s rate=3.62/min response_bytes=54547
REQUEST completed point=65 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.176s rate=3.49/min response_bytes=55027
REQUEST completed point=66 date=2024-01-11 hour=00 attempt=1 status=200 duration=17.178s rate=3.49/min response_bytes=54938
REQUEST completed point=57 date=2024-01-11 hour=00 attempt=1 status=200 duration=34.268s rate=1.75/min response_bytes=54432
REQUEST completed point=58 date=2024-01-11 hour=00 attempt=1 status=200 duration=34.273s rate=1.75/min response_bytes=55331
REQUEST completed point=70 date=2024-01-11 hour=00 attempt=1 status=200 duration=9.323s rate=6.44/min response_bytes=54619
REQUEST completed point=72 date=2024-01-11 hour=00 attempt=1 status=200 duration=20.220s rate=2.97/min response_bytes=55360
REQUEST completed point=71 date=2024-01-11 hour=00 attempt=1 status=200 duration=20.224s rate=2.97/min response_bytes=54748
Progress: processed=975/78260 completed=97 failed=0 skipped=878 rate=23.58/min eta=54:37:55
REQUEST completed point=61 date=2024-01-11 hour=00 attempt=1 status=200 duration=37.429s rate=1.60/min response_bytes=54898
REQUEST completed point=62 date=2024-01-11 hour=00 attempt=1 status=200 duration=37.432s rate=1.60/min response_bytes=54852
REQUEST completed point=63 date=2024-01-11 hour=00 attempt=1 status=200 duration=37.429s rate=1.60/min response_bytes=54932
REQUEST completed point=64 date=2024-01-11 hour=00 attempt=1 status=200 duration=37.429s rate=1.60/min response_bytes=54845
REQUEST completed point=75 date=2024-01-11 hour=00 attempt=1 status=200 duration=11.800s rate=5.08/min response_bytes=54413
REQUEST completed point=69 date=2024-01-11 hour=00 attempt=1 status=200 duration=30.699s rate=1.95/min response_bytes=54629
REQUEST completed point=68 date=2024-01-11 hour=00 attempt=1 status=200 duration=47.035s rate=1.28/min response_bytes=54822
REQUEST completed point=67 date=2024-01-11 hour=00 attempt=1 status=200 duration=47.039s rate=1.28/min response_bytes=54887
REQUEST completed point=81 date=2024-01-11 hour=00 attempt=1 status=200 duration=12.573s rate=4.77/min response_bytes=54820
REQUEST completed point=74 date=2024-01-11 hour=00 attempt=1 status=200 duration=42.022s rate=1.43/min response_bytes=55054
REQUEST completed point=77 date=2024-01-11 hour=00 attempt=1 status=200 duration=24.497s rate=2.45/min response_bytes=54427
REQUEST completed point=73 date=2024-01-11 hour=00 attempt=1 status=200 duration=44.754s rate=1.34/min response_bytes=54514
REQUEST completed point=82 date=2024-01-11 hour=00 attempt=1 status=200 duration=24.485s rate=2.45/min response_bytes=54735
REQUEST completed point=86 date=2024-01-11 hour=00 attempt=1 status=200 duration=21.030s rate=2.85/min response_bytes=54853
REQUEST completed point=90 date=2024-01-11 hour=00 attempt=1 status=200 duration=12.762s rate=4.70/min response_bytes=54802
REQUEST completed point=91 date=2024-01-11 hour=00 attempt=1 status=200 duration=11.877s rate=5.05/min response_bytes=55277
REQUEST completed point=76 date=2024-01-11 hour=00 attempt=1 status=200 duration=48.373s rate=1.24/min response_bytes=54817
REQUEST completed point=79 date=2024-01-11 hour=00 attempt=1 status=200 duration=48.378s rate=1.24/min response_bytes=54495
REQUEST completed point=78 date=2024-01-11 hour=00 attempt=1 status=200 duration=48.381s rate=1.24/min response_bytes=54851
REQUEST completed point=80 date=2024-01-11 hour=00 attempt=1 status=200 duration=48.378s rate=1.24/min response_bytes=54508
REQUEST completed point=87 date=2024-01-11 hour=00 attempt=1 status=200 duration=33.077s rate=1.81/min response_bytes=55211
REQUEST completed point=83 date=2024-01-11 hour=00 attempt=1 status=200 duration=51.296s rate=1.17/min response_bytes=54629
REQUEST completed point=85 date=2024-01-11 hour=00 attempt=1 status=200 duration=51.293s rate=1.17/min response_bytes=55211
REQUEST completed point=84 date=2024-01-11 hour=00 attempt=1 status=200 duration=57.282s rate=1.05/min response_bytes=54611
REQUEST completed point=88 date=2024-01-11 hour=00 attempt=1 status=200 duration=42.436s rate=1.41/min response_bytes=55019
Progress: processed=1000/78260 completed=122 failed=0 skipped=878 rate=23.33/min eta=55:11:46
REQUEST completed point=89 date=2024-01-11 hour=00 attempt=1 status=200 duration=42.380s rate=1.42/min response_bytes=54429
REQUEST completed point=7 date=2024-01-12 hour=00 attempt=1 status=200 duration=19.433s rate=3.09/min response_bytes=55143
REQUEST completed point=2 date=2024-01-12 hour=00 attempt=1 status=200 duration=19.435s rate=3.09/min response_bytes=55130
REQUEST completed point=5 date=2024-01-12 hour=00 attempt=1 status=200 duration=19.493s rate=3.08/min response_bytes=55356
REQUEST completed point=4 date=2024-01-12 hour=00 attempt=1 status=200 duration=19.493s rate=3.08/min response_bytes=54576
REQUEST completed point=12 date=2024-01-12 hour=00 attempt=1 status=200 duration=28.187s rate=2.13/min response_bytes=54606
REQUEST completed point=9 date=2024-01-12 hour=00 attempt=1 status=200 duration=28.187s rate=2.13/min response_bytes=55400
REQUEST completed point=3 date=2024-01-12 hour=00 attempt=1 status=200 duration=28.189s rate=2.13/min response_bytes=55000
REQUEST completed point=13 date=2024-01-12 hour=00 attempt=1 status=200 duration=8.794s rate=6.82/min response_bytes=54585
REQUEST completed point=15 date=2024-01-12 hour=00 attempt=1 status=200 duration=17.329s rate=3.46/min response_bytes=55354
REQUEST completed point=16 date=2024-01-12 hour=00 attempt=1 status=200 duration=17.328s rate=3.46/min response_bytes=54555
REQUEST completed point=14 date=2024-01-12 hour=00 attempt=1 status=200 duration=17.452s rate=3.44/min response_bytes=55407
REQUEST completed point=8 date=2024-01-12 hour=00 attempt=1 status=200 duration=45.540s rate=1.32/min response_bytes=55161
REQUEST completed point=10 date=2024-01-12 hour=00 attempt=1 status=200 duration=45.542s rate=1.32/min response_bytes=55159
REQUEST completed point=11 date=2024-01-12 hour=00 attempt=1 status=200 duration=45.541s rate=1.32/min response_bytes=55066
REQUEST completed point=1 date=2024-01-12 hour=00 attempt=1 status=200 duration=45.542s rate=1.32/min response_bytes=55156
REQUEST completed point=6 date=2024-01-12 hour=00 attempt=1 status=200 duration=45.541s rate=1.32/min response_bytes=55160
REQUEST completed point=20 date=2024-01-12 hour=00 attempt=1 status=200 duration=17.348s rate=3.46/min response_bytes=54944
REQUEST completed point=22 date=2024-01-12 hour=00 attempt=1 status=200 duration=17.521s rate=3.42/min response_bytes=54967
REQUEST completed point=21 date=2024-01-12 hour=00 attempt=1 status=200 duration=17.525s rate=3.42/min response_bytes=54970
REQUEST completed point=17 date=2024-01-12 hour=00 attempt=1 status=200 duration=26.164s rate=2.29/min response_bytes=55391
REQUEST completed point=29 date=2024-01-12 hour=00 attempt=1 status=200 duration=8.773s rate=6.84/min response_bytes=54507
REQUEST completed point=18 date=2024-01-12 hour=00 attempt=1 status=200 duration=26.168s rate=2.29/min response_bytes=55064
REQUEST completed point=19 date=2024-01-12 hour=00 attempt=1 status=200 duration=26.166s rate=2.29/min response_bytes=54984
REQUEST completed point=23 date=2024-01-12 hour=00 attempt=1 status=200 duration=26.787s rate=2.24/min response_bytes=55058
Progress: processed=1025/78260 completed=147 failed=0 skipped=878 rate=23.37/min eta=55:05:19
REQUEST completed point=36 date=2024-01-12 hour=00 attempt=1 status=200 duration=8.636s rate=6.95/min response_bytes=54638
REQUEST completed point=31 date=2024-01-12 hour=00 attempt=1 status=200 duration=18.000s rate=3.33/min response_bytes=55263
REQUEST completed point=32 date=2024-01-12 hour=00 attempt=1 status=200 duration=17.999s rate=3.33/min response_bytes=54861
REQUEST completed point=30 date=2024-01-12 hour=00 attempt=1 status=200 duration=18.031s rate=3.33/min response_bytes=54970
REQUEST completed point=33 date=2024-01-12 hour=00 attempt=1 status=200 duration=18.025s rate=3.33/min response_bytes=54830
REQUEST completed point=25 date=2024-01-12 hour=00 attempt=1 status=200 duration=35.648s rate=1.68/min response_bytes=55016
REQUEST completed point=37 date=2024-01-12 hour=00 attempt=1 status=200 duration=8.890s rate=6.75/min response_bytes=54015
